service,base_url,method,path,purpose,parameters,example
Data API,https://data-api.polymarket.com,GET,/closed-positions,Get closed positions history for a user,"Query: user wallet identifier, optional time-range and pagination filters.","curl ""https://data-api.polymarket.com/closed-positions?address=0xYourWallet"""
Data API,https://data-api.polymarket.com,GET,/trades,Get trades for a user and/or specified markets,"Query: user wallet identifier and/or market identifiers, plus pagination and sort options.","curl ""https://data-api.polymarket.com/trades?address=0xYourWallet&limit=100"""
Data API,https://data-api.polymarket.com,GET,/activity,"Get on-chain activity feed (trades, splits, merges, redeems, rewards, etc.)","Query: user wallet identifier and/or market identifiers, filter by activity type and time range, plus pagination.","curl ""https://data-api.polymarket.com/activity?address=0xYourWallet&limit=50"""
Data API,https://data-api.polymarket.com,GET,/holders,Get top holders per outcome token for given markets,"Query: one or more market or token identifiers, optional limit for number of holders returned.","curl ""https://data-api.polymarket.com/holders?marketIds=1234,5678"""
Data API,https://data-api.polymarket.com,GET,/value,Get aggregate total value of a user’s positions (optionally scoped to markets),"Query: user wallet identifier, optional list of market identifiers and currency/display options.","curl ""https://data-api.polymarket.com/value?address=0xYourWallet"""
Data API,https://data-api.polymarket.com,GET,/oi,Get open interest metrics for markets,Query: one or more market identifiers or a scope describing which markets to include.,curl https://data-api.polymarket.com/oi
Data API,https://data-api.polymarket.com,GET,/v1/leaderboard,Get trader leaderboard rankings with volume/PnL/profile info,"Query: ranking scope/timeframe, pagination, and optional filters (see docs).",curl https://data-api.polymarket.com/v1/leaderboard
Data API (Builders),https://data-api.polymarket.com,GET,/v1/builders/leaderboard,Get aggregated builder leaderboard over a selected time period,"Query: timeframe (e.g., daily/weekly/monthly/all-time), pagination, and optional filters for specific builders.",curl https://data-api.polymarket.com/v1/builders/leaderboard
Data API (Builders),https://data-api.polymarket.com,GET,/v1/builders/volume,Get daily builder volume time-series,"Query: date range/timeframe, granularity, and optional filters for specific builders.",curl https://data-api.polymarket.com/v1/builders/volume
CLOB REST,https://clob.polymarket.com,GET,/price,Get current price for a given token (and side),Query: outcome token identifier and side (buy or sell).,"curl ""https://clob.polymarket.com/price?token_id=<tokenId>&side=BUY"""
CLOB REST,https://clob.polymarket.com,POST,/prices,Batch get prices for multiple tokens/sides,JSON body: list of token identifiers and sides to price (see docs for exact schema).,"curl -X POST https://clob.polymarket.com/prices -H 'Content-Type: application/json' -d '[{""token_id"":""<id>"",""side"":""BUY""}]'"
CLOB REST,https://clob.polymarket.com,GET,/prices-history,Get historical price series for a traded token,Query: token identifier plus either explicit time range or a preset window and sampling interval.,"curl ""https://clob.polymarket.com/prices-history?token_id=<tokenId>&from=<ts_from>&to=<ts_to>"""
CLOB REST,https://clob.polymarket.com,GET,/book,Get current order book snapshot for a token (bids/asks ladders),Query: token identifier and optional depth or aggregation parameters.,"curl ""https://clob.polymarket.com/book?token_id=<tokenId>"""
CLOB REST,https://clob.polymarket.com,POST,/order,Place a single signed limit order,"JSON body: order details including token identifier, side, price, size, time-in-force, and signature/auth fields.",curl -X POST https://clob.polymarket.com/order -H 'Content-Type: application/json' -d '{...order payload...}'
CLOB REST,https://clob.polymarket.com,POST,/orders,Place multiple signed orders in a single request,"JSON body: array of order objects, each with token identifier, side, price, size, TIF, and signature/auth fields.","curl -X POST https://clob.polymarket.com/orders -H 'Content-Type: application/json' -d '[{...},{...}]'"
CLOB REST,https://clob.polymarket.com,DELETE,/order,Cancel a single order by order ID,JSON body or query parameter: order identifier for the order to cancel (see docs).,"curl -X DELETE https://clob.polymarket.com/order -H 'Content-Type: application/json' -d '{""order_id"":""<id>""}'"
CLOB REST,https://clob.polymarket.com,DELETE,/orders,Cancel multiple orders by IDs,JSON body: list of order identifiers to cancel.,"curl -X DELETE https://clob.polymarket.com/orders -H 'Content-Type: application/json' -d '{""order_ids"":[""id1"",""id2""]}'"
CLOB REST,https://clob.polymarket.com,DELETE,/cancel-all,Cancel all open orders for the authenticated user,"JSON body or query parameters: optional filters (e.g., by market) to scope cancellation (see docs).",curl -X DELETE https://clob.polymarket.com/cancel-all -H 'Authorization: <token>'
CLOB REST,https://clob.polymarket.com,DELETE,/cancel-market-orders,Cancel all open orders for a specified market/token,JSON body or query parameters: market and/or token identifiers for which to cancel orders.,"curl -X DELETE https://clob.polymarket.com/cancel-market-orders -H 'Content-Type: application/json' -d '{""market_id"":""<conditionId>""}'"
CLOB REST,https://clob.polymarket.com,GET,/data/orders,"Get open orders for the authenticated user, with filters","Query: filters such as market identifiers, token identifiers, and specific order IDs, plus pagination.",curl https://clob.polymarket.com/data/orders
CLOB WebSocket,wss://ws-subscriptions-clob.polymarket.com,WS,/ws/market,Public market data stream (order book + trades) for specified token IDs,"Initial JSON message: {type: 'market', assets_ids: [tokenIds], optional flags; no HTTP query parameters.",wscat -c wss://ws-subscriptions-clob.polymarket.com/ws/market
CLOB WebSocket,wss://ws-subscriptions-clob.polymarket.com,WS,/ws/user,Authenticated user stream of orders and trades,Initial JSON message: includes auth fields plus markets list to subscribe to; see docs for exact payload.,wscat -c wss://ws-subscriptions-clob.polymarket.com/ws/user
RTDS WebSocket,wss://ws-live-data.polymarket.com,WS,(topic: crypto_prices),"Real-time crypto prices from Binance, filterable by symbols","Subscription JSON: {action: 'subscribe', subscriptions: [{topic: 'crypto_prices', type: 'update', filters: 'btcusdt,solusdt'}]}",wscat -c wss://ws-live-data.polymarket.com
RTDS WebSocket,wss://ws-live-data.polymarket.com,WS,(topic: crypto_prices_chainlink),Real-time crypto prices from Chainlink oracle feeds,"Subscription JSON: same structure as crypto_prices, with topic set to 'crypto_prices_chainlink'.",wscat -c wss://ws-live-data.polymarket.com
RTDS WebSocket,wss://ws-live-data.polymarket.com,WS,(topic: comments),Real-time comment and reaction events on Polymarket,"Subscription JSON: {action: 'subscribe', subscriptions: [{topic: 'comments', type: 'comment_created', filters: '<optional filters>'}]}",wscat -c wss://ws-live-data.polymarket.com
Sports WebSocket,wss://sports-api.polymarket.com,WS,/ws,Live sports game updates for all active sports events,No query parameters; on connect you start receiving JSON updates. Must respond to ping messages with pong.,wscat -c wss://sports-api.polymarket.com/ws
Bridge API,https://bridge.polymarket.com,GET,/supported-assets,List supported chains/tokens for bridging and their constraints,Query: optional filters for chain or asset identifiers.,curl https://bridge.polymarket.com/supported-assets
Bridge API,https://bridge.polymarket.com,POST,/quote,Get a quote for a bridge/swap between chains/tokens,"JSON body: from-chain/to-chain identifiers, source/target assets, input amount and destination address (see docs for exact fields).",curl -X POST https://bridge.polymarket.com/quote -H 'Content-Type: application/json' -d '{...quote request...}'
Bridge API,https://bridge.polymarket.com,POST,/deposit,Create deposit addresses for bridging funds into Polymarket,"JSON body: target chain/asset and recipient Polymarket wallet, plus optional options (see docs).",curl -X POST https://bridge.polymarket.com/deposit -H 'Content-Type: application/json' -d '{...deposit request...}'
Bridge API,https://bridge.polymarket.com,POST,/withdraw,Initiate a withdrawal from Polymarket to another chain/token,"JSON body: withdrawal amount, target chain/asset, destination address, and user identifiers (see docs).",curl -X POST https://bridge.polymarket.com/withdraw -H 'Content-Type: application/json' -d '{...withdraw request...}'
Bridge API,https://bridge.polymarket.com,GET,/status/{address},Get status of deposits/withdrawals associated with a bridge address,Path: address (deposit or withdrawal address). No body. Returns list of bridge transactions.,curl https://bridge.polymarket.com/status/0xDepositOrBtcAddress
Status API,https://status.polymarket.com,GET,/summary.json,Overall Polymarket status and active incidents,None (simple GET).,curl https://status.polymarket.com/summary.json
Status API,https://status.polymarket.com,GET,/v2/components.json,"Status for individual components (Gamma, Data API, CLOB, etc.)",None (simple GET).,curl https://status.polymarket.com/v2/components.json
Subgraph (GraphQL),https://gateway.thegraph.com,POST,/api/{api-key}/subgraphs/id/Bx1W4S7kDVxs9gC3s2G6DS8kdNBJNVhMviCtin2DiBp,"GraphQL endpoint for on-chain Polymarket data (markets, positions, etc.)",JSON body: GraphQL fields 'query' (string) and optional 'variables' (object). Requires The Graph API key in URL.,curl -X POST https://gateway.thegraph.com/api/<api-key>/subgraphs/id/Bx1W4S7kDVxs9gC3s2G6DS8kdNBJNVhMviCtin2DiBp -H 'Content-Type: application/json' -d '{...graphql body...}'
